what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1516757751842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516757752817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516757756093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516757759507
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1516757759780
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516757759851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516757770940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516757771146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516757771236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758009919
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516758014225
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516758039904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758043493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758044750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516758051693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758055714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758061956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758061991
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1516758065687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758065773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758069589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758086115
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516758091805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758093795
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1516758095681
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1516758095687
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1516758095698
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1516758095698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758095977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758096033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758103205
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516758109030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758110439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758113032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758113086
started,bundle,org.eclipse.jst.server.ui,1.1.202.v20110419,"org.eclipse.jst.server.ui",1516758162830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758175348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758184087
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1516758186519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758186567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758187281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758209936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758215445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758263909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1516758274080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758277355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758288960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1516758291741
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516758295449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758299197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516758306600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1516758309066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516758318103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516758318201
